#Label,Lat,Lng,Height,Time
Ground1,44.9926891890,-93.1742253629,269.265,11:10:09 AM
Ground2,44.9926949566,-93.1727974139,267.807,11:08:23 AM
Ground3,44.9929713163,-93.1728005991,268.823,11:07:40 AM
Ground4,44.9930549444,-93.1727970115,268.009,11:07:15 AM
Ground5,44.9930528200,-93.1742255508,269.071,11:05:43 AM
Ground6,44.9930565855,-93.1755131351,269.248,11:04:11 AM
Ground7,44.9926888360,-93.1755151837,268.893,11:11:41 AM
Ground8,44.9929687576,-93.1755152721,269.967,11:12:22 AM
