"","Plot","Height1","Height2"
"1","ST19:1101",207,202.5
"2","ST19:1102",204.5,198
"3","ST19:1103",230,224
"4","ST19:1104",212,215
"5","ST19:1105",214,223.5
"6","ST19:1106",214,205
"7","ST19:1107",216,207
"8","ST19:1108",224.5,223
"9","ST19:1109",220,211.5
"10","ST19:1110",232.5,222
"11","ST19:1111",188,181
"12","ST19:1112",206,214
"13","ST19:1113",187.5,197
"14","ST19:1114",203.5,195
"15","ST19:1115",232.5,231.5
"16","ST19:1116",244.5,249
"17","ST19:1117",208.5,207
"18","ST19:1118",222.5,239
"19","ST19:1119",230.5,212
"20","ST19:1120",231,222.5
"21","ST19:1121",209,213
"22","ST19:1122",206.5,229
"23","ST19:1123",216,210
"24","ST19:1124",197,195
"25","ST19:1125",196,208.5
"26","ST19:1126",206.5,196
"27","ST19:1127",189.5,185.5
"28","ST19:1128",236.5,228
"29","ST19:1129",225,214
"30","ST19:1130",187.5,194
"31","ST19:1131",233,213
"32","ST19:1132",205,220
"33","ST19:1133",207,203
"34","ST19:1134",226.5,218
"35","ST19:1135",221,201
"36","ST19:1136",220,228
"37","ST19:1201",220,221.5
"38","ST19:1202",201,215.5
"39","ST19:1203",213.5,215.5
"40","ST19:1204",193.5,188.5
"41","ST19:1205",210,215
"42","ST19:1206",191,179
"43","ST19:1207",229,224.5
"44","ST19:1208",197,215
"45","ST19:1209",210.5,220.5
"46","ST19:1210",193.5,228.5
"47","ST19:1211",214,224.5
"48","ST19:1212",210,199.5
"49","ST19:1213",209.5,177
"50","ST19:1214",238,221.5
"51","ST19:1215",214,211
"52","ST19:1216",181.5,187.5
"53","ST19:1217",221,217
"54","ST19:1218",226.5,225
"55","ST19:1219",229,239
"56","ST19:1220",214,232.5
"57","ST19:1221",246,137
"58","ST19:1222",203.5,213
"59","ST19:1223",228,203
"60","ST19:1224",216.5,225
"61","ST19:1225",180,186.5
"62","ST19:1226",190,209
"63","ST19:1227",205,219
"64","ST19:1228",209,213
"65","ST19:1229",226,231
"66","ST19:1230",196.5,215
"67","ST19:1231",203,220.5
"68","ST19:1232",196,210.5
"69","ST19:1233",203.5,217
"70","ST19:1234",171,182.5
"71","ST19:1235",210,208.5
"72","ST19:1236",213.5,212.5
"73","ST19:2101",164,158.5
"74","ST19:2102",165.5,146.5
"75","ST19:2103",156,153.5
"76","ST19:2104",160.5,170.5
"77","ST19:2105",180,156.5
"78","ST19:2106",181,172
"79","ST19:2107",142,148
"80","ST19:2108",145,143
"81","ST19:2109",167.5,157
"82","ST19:2110",154,156
"83","ST19:2111",156,156.5
