"","Plot","Height1","Height2"
"1","ST19:1101",239.7,277.7
"2","ST19:1102",247.7,257.7
"3","ST19:1103",308.3,320.7
"4","ST19:1104",296.3,310
"5","ST19:1105",299,272
"6","ST19:1106",299,289
"7","ST19:1107",321,317
"8","ST19:1108",296,299.3
"9","ST19:1109",271.3,287.3
"10","ST19:1110",298.3,291
"11","ST19:1111",293.3,286.3
"12","ST19:1112",295.3,297
"13","ST19:1113",241,253
"14","ST19:1114",298,304
"15","ST19:1115",275.3,313.7
"16","ST19:1116",277.3,258.7
"17","ST19:1117",260.7,262
"18","ST19:1118",300.7,292.3
"19","ST19:1119",286.3,285.7
"20","ST19:1120",295,301.7
"21","ST19:1121",255.7,250.3
"22","ST19:1122",258.7,258
"23","ST19:1123",305,306.7
"24","ST19:1124",178,291.7
"25","ST19:1125",251.7,283
"26","ST19:1126",252.3,258
"27","ST19:1127",279,269.7
"28","ST19:1128",290,287.3
"29","ST19:1129",296,292.7
"30","ST19:1130",272.3,270
"31","ST19:1131",289.7,299
"32","ST19:1132",254.7,250.7
"33","ST19:1133",263.7,267
"34","ST19:1134",324.3,316.7
"35","ST19:1135",301.3,307.3
"36","ST19:1136",286.3,279.7
"37","ST19:1201",272.7,262.7
"38","ST19:1202",285,285.3
"39","ST19:1203",262.7,263.7
"40","ST19:1204",250.3,255.3
"41","ST19:1205",253,265.7
"42","ST19:1206",250.3,250.3
"43","ST19:1207",285.3,260.3
"44","ST19:1208",267.7,278
"45","ST19:1209",275.3,302.7
"46","ST19:1210",291.7,300
"47","ST19:1211",318.7,300
"48","ST19:1212",NA,NA
"49","ST19:1213",NA,NA
"50","ST19:1214",297.3,294
"51","ST19:1215",260.3,265
"52","ST19:1216",277.3,280.3
"53","ST19:1217",251.7,286.7
"54","ST19:1218",266.7,272.3
"55","ST19:1219",301,302.3
"56","ST19:1220",287.7,229.7
"57","ST19:1221",296.7,300.7
"58","ST19:1222",291.7,296
"59","ST19:1223",289.3,272
"60","ST19:1224",297.7,300.7
"61","ST19:1225",275,271.7
"62","ST19:1226",254,248
"63","ST19:1227",288.7,273
"64","ST19:1228",258.7,240
"65","ST19:1229",288,294.7
"66","ST19:1230",264,266
"67","ST19:1231",262,252
"68","ST19:1232",260.7,253.7
"69","ST19:1233",290,282.3
"70","ST19:1234",280,285.7
"71","ST19:1235",301.3,302.3
"72","ST19:1236",295,298
"73","ST19:2101",254.3,257
"74","ST19:2102",248.7,255
"75","ST19:2103",230.7,233.3
"76","ST19:2104",238.7,247.7
"77","ST19:2105",292,281.3
"78","ST19:2106",276.3,290
"79","ST19:2107",254.7,244.3
"80","ST19:2108",232,232
"81","ST19:2109",279.7,273.7
"82","ST19:2110",237.7,251.7
"83","ST19:2111",276,273
"84","ST19:2112",240.3,250
"85","ST19:2113",222.3,239.7
"86","ST19:2114",289.7,290.7
"87","ST19:2115",231.7,232.3
"88","ST19:2116",220.7,231.7
"89","ST19:2117",284.3,286.7
"90","ST19:2118",271,266.7
"91","ST19:2119",293.3,301.7
"92","ST19:2120",296.3,286.7
"93","ST19:2121",230.7,287
"94","ST19:2122",249,240.7
"95","ST19:2123",246.3,208.7
"96","ST19:2124",215,204.7
"97","ST19:2125",221.3,247.7
"98","ST19:2126",250.7,271
"99","ST19:2127",255,263.7
"100","ST19:2128",257.7,240
"101","ST19:2129",260,261.3
"102","ST19:2130",253.3,256.7
"103","ST19:2131",279.3,286
"104","ST19:2132",295.7,277.7
"105","ST19:2133",281,295.7
"106","ST19:2134",289.3,297.7
"107","ST19:2135",290.3,293
"108","ST19:2136",261.3,266.7
"109","ST19:2201",217,246.3
"110","ST19:2202",277.3,297.7
"111","ST19:2203",229.3,217.7
"112","ST19:2204",236.3,241.3
"113","ST19:2205",279,196.3
"114","ST19:2206",270.7,267.7
"115","ST19:2207",258,280.7
"116","ST19:2208",290,395
"117","ST19:2209",250,251.3
"118","ST19:2210",253.3,243.7
"119","ST19:2211",260.3,246
"120","ST19:2212",266.7,250
"121","ST19:2213",227,227.7
"122","ST19:2214",262.3,270.3
"123","ST19:2215",265,268.3
"124","ST19:2216",280,282
"125","ST19:2217",275,275.7
"126","ST19:2218",285.7,286.7
"127","ST19:2219",300,286
"128","ST19:2220",279.7,286.7
"129","ST19:2221",230,239
"130","ST19:2222",269.3,241
"131","ST19:2223",280,259
"132","ST19:2224",266,255
"133","ST19:2225",230.7,226.7
"134","ST19:2226",277.3,275
"135","ST19:2227",265,259
"136","ST19:2228",218.3,215
"137","ST19:2229",242,250
"138","ST19:2230",257,258.3
"139","ST19:2231",268.7,276
"140","ST19:2232",270.7,281.7
"141","ST19:2233",242.7,244.7
"142","ST19:2234",278.7,265.3
"143","ST19:2235",292.7,276.3
"144","ST19:2236",267,268.7
"145","ST19:3101",290,290.7
"146","ST19:3102",243.3,235.7
"147","ST19:3103",223,223.7
"148","ST19:3104",266,206.3
"149","ST19:3105",231,211
"150","ST19:3106",272.3,240
"151","ST19:3107",275.7,264.3
"152","ST19:3108",219,219.3
"153","ST19:3109",240,228.7
"154","ST19:3110",207,201.7
"155","ST19:3111",209.3,219.3
"156","ST19:3112",229,244.7
"157","ST19:3113",272,266
"158","ST19:3114",222.3,238.3
"159","ST19:3115",246.7,235.3
"160","ST19:3116",228,333.7
"161","ST19:3117",252.7,222.3
"162","ST19:3118",195,193.7
"163","ST19:3119",301.7,301.3
"164","ST19:3120",263.7,248.3
"165","ST19:3121",210.3,221.7
"166","ST19:3122",261,256.3
"167","ST19:3123",225.7,228.3
"168","ST19:3124",239.7,232
"169","ST19:3125",228.7,230.3
"170","ST19:3126",229,221
"171","ST19:3127",274.3,292.7
"172","ST19:3128",316,291
"173","ST19:3129",285,283.3
"174","ST19:3130",268.7,274.7
"175","ST19:3131",275.3,260.7
"176","ST19:3132",238.3,208.3
"177","ST19:3133",258.3,270.7
"178","ST19:3134",204.3,204.7
"179","ST19:3135",275.3,262
"180","ST19:3136",207.3,232.7
"181","ST19:3137",197,198
"182","ST19:3138",234.3,234.3
"183","ST19:3139",253,269.7
"184","ST19:3140",235,232
"185","ST19:3141",270.3,267.3
"186","ST19:3142",285,295.3
"187","ST19:3143",270.7,279
"188","ST19:3144",255.7,288
"189","ST19:3145",226.7,219.7
"190","ST19:3146",272.3,275.7
"191","ST19:3147",216,221.3
"192","ST19:3148",284,292
"193","ST19:3201",235.3,247.7
"194","ST19:3202",284,302.3
"195","ST19:3203",236.7,228
"196","ST19:3204",285,289.7
"197","ST19:3205",240.3,230
"198","ST19:3206",280.7,268
"199","ST19:3207",239.3,235
"200","ST19:3208",212,207
"201","ST19:3209",208.7,233.3
"202","ST19:3210",222,208
"203","ST19:3211",261.3,229.7
"204","ST19:3212",222.7,220.7
"205","ST19:3213",253,235.3
"206","ST19:3214",255.7,265.7
"207","ST19:3215",256.3,259.3
"208","ST19:3216",254.3,258.7
"209","ST19:3217",264.3,279.3
"210","ST19:3218",278.3,267.3
"211","ST19:3219",289.3,291
"212","ST19:3220",275,305
"213","ST19:3221",286.7,284
"214","ST19:3222",216.3,208.7
"215","ST19:3223",210,212.7
"216","ST19:3224",228.3,220.7
"217","ST19:3225",291.3,286.3
"218","ST19:3226",252.7,247.7
"219","ST19:3227",235.3,227
"220","ST19:3228",263,260
"221","ST19:3229",275.3,265.7
"222","ST19:3230",269.7,204.7
"223","ST19:3231",268.3,278
"224","ST19:3232",232.7,228.3
"225","ST19:3233",230.7,223.7
"226","ST19:3234",261.7,264.7
"227","ST19:3235",241.7,279
"228","ST19:3236",192.3,191.7
"229","ST19:3237",278.7,283.3
"230","ST19:3238",231.7,228.3
"231","ST19:3239",275,261.7
"232","ST19:3240",228,227
"233","ST19:3241",236.3,211.7
"234","ST19:3242",214.7,213.7
"235","ST19:3243",200.3,202
"236","ST19:3244",212,221.7
"237","ST19:3245",177.3,184
"238","ST19:3246",277.7,265.3
"239","ST19:3247",215.3,206.3
"240","ST19:3248",237.3,238.7
