"","Plot","Height1","Height2"
"117","ST19:2209",NA,NA
"118","ST19:2210",NA,NA
"119","ST19:2211",NA,NA
"120","ST19:2212",NA,NA
"121","ST19:2213",NA,NA
"122","ST19:2214",NA,NA
"123","ST19:2215",NA,NA
"124","ST19:2216",NA,NA
"125","ST19:2217",NA,NA
"126","ST19:2218",NA,NA
"127","ST19:2219",NA,NA
"128","ST19:2220",NA,NA
"129","ST19:2221",NA,NA
"130","ST19:2222",NA,NA
"131","ST19:2223",NA,NA
"132","ST19:2224",NA,NA
"133","ST19:2225",NA,NA
"134","ST19:2226",NA,NA
"135","ST19:2227",NA,NA
"136","ST19:2228",NA,NA
"137","ST19:2229",NA,NA
"138","ST19:2230",NA,NA
"139","ST19:2231",NA,NA
"140","ST19:2232",NA,NA
"141","ST19:2233",NA,NA
"142","ST19:2234",NA,NA
"143","ST19:2235",NA,NA
"144","ST19:2236",NA,NA
"145","ST19:3101",93.5,100.5
"146","ST19:3102",71,72.5
"147","ST19:3103",67.5,64
"148","ST19:3104",75.5,58.5
"149","ST19:3105",68,58.5
"150","ST19:3106",112.5,119
"151","ST19:3107",106.5,103
"152","ST19:3108",64,71
"153","ST19:3109",82,74.5
"154","ST19:3110",73.5,66.5
"155","ST19:3111",68,73
"156","ST19:3112",106.5,118.5
"157","ST19:3113",106.5,96.5
"158","ST19:3114",103.5,104.5
"159","ST19:3115",67.5,69.5
"160","ST19:3116",76,84
"161","ST19:3117",67,64
"162","ST19:3118",65,67
"163","ST19:3119",102.5,102.5
"164","ST19:3120",108,115.5
"165","ST19:3121",67.5,72.5
"166","ST19:3122",102.5,102
"167","ST19:3123",76.5,69.5
"168","ST19:3124",72,69
"169","ST19:3125",67,70
"170","ST19:3126",61.5,63.5
"171","ST19:3127",112.5,112.5
"172","ST19:3128",109.5,106
"173","ST19:3129",51.5515,107
"174","ST19:3130",116,114
"175","ST19:3131",107.5,103
"176","ST19:3132",74,75
"177","ST19:3133",109,104.5
"178","ST19:3134",86,88.5
"179","ST19:3135",116.5,108
"180","ST19:3136",60.5,68.5
"181","ST19:3137",85,67
"182","ST19:3138",117.5,116.5
"183","ST19:3139",107,101.5
"184","ST19:3140",89,82.5
"185","ST19:3141",103.5,110.5
"186","ST19:3142",95,101.5
"187","ST19:3143",123,116.5
"188","ST19:3144",104,104.5
"189","ST19:3145",78.5,78.5
"190","ST19:3146",102,106.5
"191","ST19:3147",62.5,58.5
"192","ST19:3148",109,98.5
"193","ST19:3201",77.5,85.5
"194","ST19:3202",87.5,95.5
"195","ST19:3203",69,72
"196","ST19:3204",92.5,91
"197","ST19:3205",66,63
"198","ST19:3206",97.5,97
"199","ST19:3207",69.5,62.5
"200","ST19:3208",65.5,71.5
"201","ST19:3209",67,64
"202","ST19:3210",73.5,80.5
"203","ST19:3211",111,126
"204","ST19:3212",77.5,78.5
"205","ST19:3213",108,110
"206","ST19:3214",110,108
"207","ST19:3215",118,117.5
"208","ST19:3216",109,116
"209","ST19:3217",100,96
"210","ST19:3218",111,112.5
"211","ST19:3219",109,108
"212","ST19:3220",106,105.5
"213","ST19:3221",108.5,105.5
"214","ST19:3222",66.5,67.5
"215","ST19:3223",58.5,58.5
"216","ST19:3224",74.5,79
"217","ST19:3225",106,108
"218","ST19:3226",85,83
"219","ST19:3227",76.5,71.5
"220","ST19:3228",112,97.5
"221","ST19:3229",106,115
"222","ST19:3230",115,109
"223","ST19:3231",114.5,114.5
"224","ST19:3232",82,84
"225","ST19:3233",87,92.5
"226","ST19:3234",121,119.5
"227","ST19:3235",107,111.5
"228","ST19:3236",76.5,80.5
"229","ST19:3237",118.5,111
"230","ST19:3238",80.5,77.5
"231","ST19:3239",115,110.5
"232","ST19:3240",89,87.5
"233","ST19:3241",57.5,69
"234","ST19:3242",75.5,71
"235","ST19:3243",72,75
"236","ST19:3244",60.5,59
"237","ST19:3245",97,100.5
"238","ST19:3246",108.5,100.5
"239","ST19:3247",73,57
"240","ST19:3248",66.5,70.5
