"RainfallTotal","cum.rain","Date"
0,0,0
0.12,0,0
0.02,0,0
0.07,0,0
0.01,0,0
0.11,0,0
0.15,0,0
0.24,0,0
0.28,0,0
0.66,0,0
0.84,0,0
0.21,0,0
0.35,0,0
0.9,0,0
0.41,0,0
0.04,0,0
1.41,0,0
0.08,0,0
0.27,0,0
0.41,0,0
0.73,0,0
0.51,0,0
0.4,0,0
0.06,0,0
1.74,0,0
0.09,0.05,10.845
0.05,0.05,10.845
0,0.05,20.915
0,0.05,36.4
0.68,0.73,57.55
0,0.73,78.385
0,0.73,98.06
0,0.73,124.935
0,0.73,149.55
0.01,0.74,162.665
0,0.74,175.305
0.12,0.86,183.685
0,0.86,193.89
0,0.86,200.615
0.15,1.01,221.73
0.01,1.02,237.455
0,1.02,251.685
0,1.02,266.445
0,1.02,278.25
0,1.02,292.605
0.12,1.14,309.89
0,1.14,326.56
0,1.14,342.345
0.78,1.92,359.915
0.31,2.23,373.63
0,2.23,391.205
0,2.23,412.625
0.25,2.48,432.23
0,2.48,455.43
0,2.48,480.66
0.69,3.17,503.175
0.82,3.99,522.53
0.18,4.17,548.065
0,4.17,571.22
0,4.17,595.785
0.13,4.3,617.47
0,4.3,640.165
0,4.3,662.52
0,4.3,687.1
0.23,4.53,710.16
0.02,4.55,730
0,4.55,751.345
0,4.55,776.05
0,4.55,801.12
0,4.55,830.555
1.12,5.67,858.485
0.05,5.72,884.35
0,5.72,909.59
0,5.72,937.765
0,5.72,967.505
0.62,6.34,983.48
0,6.34,1001.155
0,6.34,1018.055
0,6.34,1037.4
0,6.34,1058.18
0,6.34,1079.99
0.1,6.44,1104.84
0,6.44,1128.125
0.27,6.71,1146.22
0,6.71,1162.795
0,6.71,1177.45
0,6.71,1193.855
0,6.71,1215.68
0,6.71,1240.815
0.1,6.81,1266.985
0,6.81,1292.47
0.1,6.91,1317.24
0,6.91,1339.035
0,6.91,1363.475
0,6.91,1378.5
0,6.91,1394.11
0.5,7.41,1410.105
0,7.41,1431.005
0,7.41,1449.91
0.52,7.93,1469.4
0.03,7.96,1486.375
0,7.96,1504.73
0.58,8.54,1523.675
0,8.54,1543.07
2.89,11.43,1557.025
0,11.43,1572.14
0.66,12.09,1593.455
0,12.09,1608.04
0,12.09,1620.76
0,12.09,1635.04
0,12.09,1651.69
0.01,12.1,1668.115
0.72,12.82,1684.15
0.04,12.86,1696.98
0,12.86,1708.825
0,12.86,1722.385
0,12.86,1733.105
0,12.86,1745.66
0.11,12.97,1761.32
0.72,13.69,1778.245
0.01,13.7,1794.135
0,13.7,1807.075
0,13.7,1823.19
0,13.7,1841.365
0,13.7,1848.92
0.11,13.81,1854.585
0.17,13.98,1865.47
0,13.98,1884.085
1.15,15.13,1893.805
0.85,15.98,1903.255
0.01,15.99,1911.32
0,15.99,1921.04
0,15.99,1940.565
0,15.99,1963.49
0,15.99,1990.57
0.18,16.17,2013.29
0,16.17,2035.45
0,16.17,2057.985
0.14,16.31,2081.885
0,16.31,2093.595
0,16.31,2105.79
0,16.31,2121.73
0,16.31,2132.655
0,16.31,2138.21
0,16.31,2144.69
0,16.31,2146.665
0.27,16.58,2147.795
0.05,16.63,2167.405
0.71,17.34,2174.06
0.32,17.66,2174.06
0.08,17.74,2174.06
0,17.74,2174.06
0.78,18.52,2174.06
0,18.52,2177.375
0,18.52,2181.95
0,18.52,2190.145
0,18.52,2201.875
0.29,18.81,2202.995
0.16,18.97,2202.995
0.05,19.02,2202.995
0,19.02,2202.995
0.39,19.41,2202.995
0.01,19.42,2202.995
0,19.42,2202.995
0,19.42,2207.73
0.04,19.46,2211.83
0,19.46,2211.83
0.92,20.38,2211.83
0.34,20.72,2211.83
0,20.72,2211.83
0.02,20.74,2211.83
0,20.74,2211.83
0.05,20.79,2211.83
0,20.79,2211.83
0.01,20.8,2211.83
0,20.8,2211.83
0.05,20.85,2211.83
0,20.85,2211.83
0.12,20.97,2211.83
0,20.97,2211.83
0.55,21.52,2211.83
0,21.52,2211.83
0.11,21.63,2211.83
0.07,21.7,2211.83
0,21.7,2211.83
0.06,21.76,2211.83
0,21.76,2211.83
0.03,21.79,2211.83
0,21.79,2211.83
0.01,21.8,2211.83
0,21.8,2211.83
0.6,22.4,2211.83
0.35,22.75,2211.83
0,22.75,2211.83
