#Label	X/East	Y/North	Height (ft)
Red1	44.99277778	-93.17555556	2.4765
Orange1	44.99305556	-93.17361111	1.7018
Red2	44.99305556	-93.17166667	2.4638
Red3	44.99305556	-93.17166667	2.4638
Orange2	44.99277778	-93.17361111	1.6383
Red4	44.99277778	-93.17555556	2.5146
WeatherStation	44.99277778	-93.17555556	1.5113
Ground1	44.99305556	-93.17555556	0.2159
Ground2	44.99277778	-93.17277778	0.2413
