Plot,Height1,Height2,Height3,Height4,Height5
MB21:1048,68,65,69,73,61
MB21:1043,74,79,85,84,75
MB21:1037,71,73,86,70,69
MB21:1031,76,78,77,76,82
MB21:1025,78,77,83,69,81
ERA21:2011,78,77,78,80,79
ERA21:2009,84,91,82,94,89
ERA21:2006,88,76,86,79,78
ERA21:2003,73,72,73,81,77
ERA21:1013,70,75,70,75,74
YC21:1097,49,56,52,53,54
YC21:1108,41,40,39,37,38
YC21:1120,53,55,65,52,56
YC21:1132,53,57,63,62,64
YC21:1144,43,44,49,44,45
YC21:2057,46,45,42,36,49
YC21:2068,58,59,56,55,57
YC21:2080,64,59,55,56,62
YC21:2092,49,43,52,51,52
YC21:2104,40,44,46,43,52
YC21:2440,57,56,51,53,53
YC21:2429,44,37,48,47,44
YC21:2417,30,34,44,35,33
YC21:2405,72,68,73,63,75
YC21:2393,46,52,51,42,45
