Plot,Height1,Height2,Height3,Height4,Height5
MB21:1048,245,274,280,275,263
MB21:1043,243,250,273,280,275
MB21:1037,290,243,258,260,266
MB21:1031,310,320,310,321,311
MB21:1025,255,270,262,263,272
ERA21:2011,302,278,280,310,300
ERA21:2009,259,255,265,264,277
ERA21:2006,290,287,274,289,275
ERA21:2003,257,240,260,252,247
ERA21:1013,268,266,267,270,269
YC21:1097,216,227,198,219,218
YC21:1108,234,233,217,218,199
YC21:1120,187,195,196,191,201
YC21:1132,187,184,211,214,207
YC21:1144,189,193,204,190,192
YC21:2057,167,166,144,160,163
YC21:2068,206,196,196,194,198
YC21:2080,184,212,183,208,196
YC21:2092,194,203,189,209,193
YC21:2104,189,187,187,188,189
YC21:2440,229,235,246,247,243
YC21:2429,234,235,230,231,220
YC21:2417,145,164,173,172,163
YC21:2405,222,230,233,223,195
YC21:2393,210,227,204,212,200
