Plot,Height1,Height2,Height3,Height4,Height5
MB21:1048,135,125,137,142,136
MB21:1043,164,161,177,167,169
MB21:1037,168,159,159,148,150
MB21:1031,160,165,157,158,161
MB21:1025,168,152,159,149,150
ERA21:2011,170,173,175,175,162
ERA21:2009,199,196,188,182,188
ERA21:2006,156,154,157,158,163
ERA21:2003,147,156,162,160,169
ERA21:1013,162,168,167,177,169
YC21:1097,96,101,99,116,111
YC21:1108,99,103,106,97,85
YC21:1120,116,118,117,114,120
YC21:1132,102,101,115,108,109
YC21:1144,102,105,105,107,102
YC21:2057,95,79,80,78,96
YC21:2068,104,109,102,103,102
YC21:2080,116,119,114,111,114
YC21:2092,110,113,100,106,92
YC21:2104,103,109,112,98,112
YC21:2440,104,107,97,103,116
YC21:2429,91,85,90,92,92
YC21:2417,74,81,81,88,91
YC21:2405,119,125,118,121,122
YC21:2393,101,102,106,103,100
