Plot,Height1,Height2,Height3,Height4,Height5
MB21:1048,107,90,93,102,96
MB21:1043,119,120,122,127,124
MB21:1037,118,116,121,113,112
MB21:1031,112,119,121,125,125
MB21:1025,119,116,115,124,125
ERA21:2011,132,131,131,136,137
ERA21:2009,141,149,150,158,144
ERA21:2006,117,112,120,115,111
ERA21:2003,105,115,114,109,122
ERA21:1013,117,117,119,126,112
YC21:1097,69,81,73,79,79
YC21:1108,67,62,74,63,61
YC21:1120,77,75,89,99,85
YC21:1132,76,86,83,86,87
YC21:1144,77,80,73,75,90
YC21:2057,77,60,67,60,72
YC21:2068,86,84,83,85,83
YC21:2080,91,91,85,97,85
YC21:2092,76,77,90,79,75
YC21:2104,77,81,81,76,89
YC21:2440,73,72,67,72,91
YC21:2429,63,75,71,62,59
YC21:2417,60,63,61,73,63
YC21:2405,99,93,96,103,102
YC21:2393,74,77,84,82,77
