Plot,Height1,Height2,Height3,Height4,Height5
MB21:1048,223,223,217,232,229
MB21:1043,240,243,255,260,245
MB21:1037,245,235,240,249,230
MB21:1031,225,275,281,275,240
MB21:1025,241,240,222,214,220
ERA21:2011,237,246,244,255,253
ERA21:2009,242,245,237,260,257
ERA21:2006,248,248,205,246,256
ERA21:2003,234,242,177,243,155
ERA21:1013,244,249,248,254,243
YC21:1097,172,174,177,172,182
YC21:1108,177,183,171,182,173
YC21:1120,189,177,160,182,157
YC21:1132,171,174,156,185,186
YC21:1144,171,171,175,169,185
YC21:2057,142,136,138,135,133
YC21:2068,167,176,168,174,180
YC21:2080,174,184,162,169,172
YC21:2092,184,180,165,173,175
YC21:2104,158,166,173,173,163
YC21:2440,171,169,205,167,191
YC21:2429,158,156,159,176,168
YC21:2417,136,136,153,149,150
YC21:2405,161,168,174,177,158
YC21:2393,178,178,197,176,194
