Date,Max Deg F,Min Deg F
1/1/2020,21,10
1/2/2020,34,16
1/3/2020,34,29
1/4/2020,32,21
1/5/2020,29,22
1/6/2020,35,21
1/7/2020,35,21
1/8/2020,25,-3
1/9/2020,23,-4
1/10/2020,35,18
1/11/2020,18,-4
1/12/2020,13,-4
1/13/2020,18,6
1/14/2020,30,12
1/15/2020,30,13
1/16/2020,20,-11
1/17/2020,5,-12
1/18/2020,24,5
1/19/2020,24,-2
1/20/2020,9,2
1/21/2020,17,-2
1/22/2020,30,-1
1/23/2020,35,28
1/24/2020,31,27
1/25/2020,30,27
1/26/2020,31,23
1/27/2020,27,21
1/28/2020,25,16
1/29/2020,16,14
1/30/2020,21,15
1/31/2020,26,17
2/1/2020,31,26
2/2/2020,45,24
2/3/2020,42,27
2/4/2020,30,7
2/5/2020,21,6
2/6/2020,28,10
2/7/2020,30,9
2/8/2020,27,-2
2/9/2020,19,-3
2/10/2020,23,4
2/11/2020,29,6
2/12/2020,30,20
2/13/2020,32,-14
2/14/2020,-2,-14
2/15/2020,20,-12
2/16/2020,34,11
2/17/2020,23,11
2/18/2020,34,17
2/19/2020,19,-2
2/20/2020,10,-11
2/21/2020,19,-8
2/22/2020,35,16
2/23/2020,42,17
2/24/2020,42,20
2/25/2020,40,21
2/26/2020,35,15
2/27/2020,27,12
2/28/2020,22,12
2/29/2020,24,12
3/1/2020,36,24
3/2/2020,45,28
3/3/2020,34,27
3/4/2020,39,22
3/5/2020,41,22
3/6/2020,37,21
3/7/2020,37,21
3/8/2020,51,33
3/9/2020,57,31
3/10/2020,40,23
3/11/2020,40,23
3/12/2020,40,32
3/13/2020,40,25
3/14/2020,35,20
3/15/2020,22,19
3/16/2020,38,19
3/17/2020,37,26
3/18/2020,43,24
3/19/2020,43,36
3/20/2020,38,19
3/21/2020,32,18
3/22/2020,35,19
3/23/2020,42,30
3/24/2020,44,32
3/25/2020,48,37
3/26/2020,44,29
3/27/2020,50,30
3/28/2020,58,38
3/29/2020,45,32
3/30/2020,47,31
3/31/2020,45,32
4/1/2020,52,33
4/2/2020,54,35
4/3/2020,60,25
4/4/2020,28,18
4/5/2020,43,19
4/6/2020,57,31
4/7/2020,58,43
4/8/2020,68,43
4/9/2020,55,31
4/10/2020,40,26
4/11/2020,48,30
4/12/2020,59,29
4/13/2020,31,21
4/14/2020,32,20
4/15/2020,29,16
4/16/2020,33,21
4/17/2020,45,28
4/18/2020,48,32
4/19/2020,65,34
4/20/2020,49,35
4/21/2020,58,27
4/22/2020,47,31
4/23/2020,65,35
4/24/2020,57,38
4/25/2020,66,39
4/26/2020,69,43
4/27/2020,68,46
4/28/2020,73,50
4/29/2020,51,40
4/30/2020,61,41
5/1/2020,67,46
5/2/2020,76,54
5/3/2020,74,46
5/4/2020,65,38
5/5/2020,59,42
5/6/2020,58,45
5/7/2020,66,42
5/8/2020,58,33
5/9/2020,48,30
5/10/2020,58,37
5/11/2020,46,37
5/12/2020,54,31
5/13/2020,57,40
5/14/2020,61,49
5/15/2020,72,45
5/16/2020,69,49
5/17/2020,62,47
5/18/2020,52,48
5/19/2020,64,50
5/20/2020,69,52
5/21/2020,70,52
5/22/2020,76,57
5/23/2020,65,56
5/24/2020,65,58
5/25/2020,71,56
5/26/2020,77,60
5/27/2020,77,64
5/28/2020,80,63
5/29/2020,77,60
5/30/2020,77,54
5/31/2020,64,48
6/1/2020,76,55
6/2/2020,89,63
6/3/2020,89,62
6/4/2020,80,59
6/5/2020,83,57
6/6/2020,79,54
6/7/2020,75,60
6/8/2020,84,64
6/9/2020,94,68
6/10/2020,82,56
6/11/2020,69,55
6/12/2020,76,55
6/13/2020,74,49
6/14/2020,70,52
6/15/2020,76,56
6/16/2020,87,63
6/17/2020,89,64
6/18/2020,88,69
6/19/2020,83,62
6/20/2020,74,60
6/21/2020,72,58
6/22/2020,83,59
6/23/2020,72,56
6/24/2020,74,54
6/25/2020,77,56
6/26/2020,84,67
6/27/2020,85,61
6/28/2020,85,64
6/29/2020,85,65
6/30/2020,81,66
7/1/2020,86,71
7/2/2020,87,71
7/3/2020,89,67
7/4/2020,89,68
7/5/2020,89,69
7/6/2020,89,72
7/7/2020,85,66
7/8/2020,86,70
7/9/2020,91,70
7/10/2020,78,64
7/11/2020,82,66
7/12/2020,82,62
7/13/2020,81,64
7/14/2020,84,70
7/15/2020,73,55
7/16/2020,80,57
7/17/2020,83,66
7/18/2020,89,67
7/19/2020,89,66
7/20/2020,80,60
7/21/2020,80,63
7/22/2020,79,56
7/23/2020,67,54
7/24/2020,79,62
7/25/2020,91,71
7/26/2020,87,68
7/27/2020,84,61
7/28/2020,81,65
7/29/2020,82,59
7/30/2020,82,58
7/31/2020,80,56
8/1/2020,83,60
8/2/2020,80,60
8/3/2020,71,52
8/4/2020,72,49
8/5/2020,77,55
8/6/2020,76,58
8/7/2020,78,64
8/8/2020,80,67
8/9/2020,81,65
8/10/2020,85,64
8/11/2020,77,57
8/12/2020,82,62
8/13/2020,70,63
8/14/2020,87,69
8/15/2020,84,56
8/16/2020,76,59
8/17/2020,82,63
8/18/2020,75,53
8/19/2020,79,60
8/20/2020,82,65
8/21/2020,83,67
8/22/2020,87,65
8/23/2020,84,65
8/24/2020,89,69
8/25/2020,87,69
8/26/2020,87,72
8/27/2020,90,70
8/28/2020,86,64
8/29/2020,80,56
8/30/2020,76,54
8/31/2020,75,58
9/1/2020,72,55
9/2/2020,71,54
9/3/2020,80,57
9/4/2020,68,50
9/5/2020,73,51
9/6/2020,77,56
9/7/2020,80,50
9/8/2020,56,43
9/9/2020,50,43
9/10/2020,48,34
9/11/2020,60,36
9/12/2020,59,45
9/13/2020,64,51
9/14/2020,71,52
9/15/2020,78,55
9/16/2020,79,59
9/17/2020,68,41
9/18/2020,55,35
9/19/2020,61,40
9/20/2020,70,47
9/21/2020,73,53
9/22/2020,76,57
9/23/2020,82,59
9/24/2020,83,58
9/25/2020,74,58
9/26/2020,84,57
9/27/2020,69,53
9/28/2020,66,48
9/29/2020,55,47
9/30/2020,63,46
10/1/2020,62,45
10/2/2020,53,34
10/3/2020,49,35
10/4/2020,50,29
10/5/2020,55,34
10/6/2020,69,47
10/7/2020,79,48
10/8/2020,69,38
10/9/2020,65,42
10/10/2020,78,48
10/11/2020,63,45
10/12/2020,66,46
10/13/2020,62,48
10/14/2020,60,46
10/15/2020,60,32
10/16/2020,48,32
10/17/2020,42,32
10/18/2020,51,27
10/19/2020,33,25
10/20/2020,33,27
10/21/2020,34,29
10/22/2020,34,29
10/23/2020,33,31
10/24/2020,35,22
10/25/2020,30,22
10/26/2020,26,23
10/27/2020,29,15
10/28/2020,33,15
10/29/2020,46,30
10/30/2020,35,27
10/31/2020,44,28
11/1/2020,53,24
11/2/2020,36,24
11/3/2020,56,30
11/4/2020,74,41
11/5/2020,72,44
11/6/2020,65,45
11/7/2020,75,46
11/8/2020,72,54
11/9/2020,71,54
11/10/2020,64,29
11/11/2020,29,20
11/12/2020,36,20
11/13/2020,28,9
11/14/2020,33,12
11/15/2020,36,31
11/16/2020,32,23
11/17/2020,38,16
11/18/2020,33,18
11/19/2020,50,32
11/20/2020,53,34
11/21/2020,38,19
11/22/2020,38,19
11/23/2020,38,21
11/24/2020,35,20
11/25/2020,35,31
11/26/2020,34,31
11/27/2020,34,27
11/28/2020,35,26
11/29/2020,49,31
11/30/2020,35,18
12/1/2020,27,14
12/2/2020,35,14
12/3/2020,41,21
12/4/2020,40,26
12/5/2020,41,19
12/6/2020,39,19
12/7/2020,33,30
12/8/2020,31,28
12/9/2020,37,26
12/10/2020,50,28
12/11/2020,45,30
12/12/2020,35,25
12/13/2020,30,23
12/14/2020,25,12
12/15/2020,16,7
12/16/2020,23,10
12/17/2020,28,15
12/18/2020,28,20
12/19/2020,41,25
12/20/2020,26,19
12/21/2020,37,19
12/22/2020,38,21
12/23/2020,43,22
