Fields,BoundingBox,X,Y,id,left,top,right,bottom
1,"[-93.1745272881804,44.9930306160447;-93.1744492881804,44.9930376160447]","[-93.1745272881804,-93.1744492881804,-93.1744492881804,-93.1745272881804,-93.1745272881804,NaN]","[44.9930376160447,44.9930376160447,44.9930306160447,44.9930306160447,44.9930376160447,NaN]",1,-93.17460394,44.99306536,-93.17452594,44.99305836
2,"[-93.1745276288705,44.9930236160447;-93.1744496288705,44.9930306160447]","[-93.1745276288705,-93.1744496288705,-93.1744496288705,-93.1745276288705,-93.1745276288705,NaN]","[44.9930306160447,44.9930306160447,44.9930236160447,44.9930236160447,44.9930306160447,NaN]",2,-93.17460394,44.99305836,-93.17452594,44.99305136
3,"[-93.1745269474904,44.9930165024813;-93.1744489474904,44.9930235024813]","[-93.1745269474904,-93.1744489474904,-93.1744489474904,-93.1745269474904,-93.1745269474904,NaN]","[44.9930235024813,44.9930235024813,44.9930165024813,44.9930165024813,44.9930235024813,NaN]",3,-93.17460394,44.99305136,-93.17452594,44.99304436
4,"[-93.1745244490968,44.9930097296080;-93.1744464490968,44.9930167296080]","[-93.1745244490968,-93.1744464490968,-93.1744464490968,-93.1745244490968,-93.1745244490968,NaN]","[44.9930167296080,44.9930167296080,44.9930097296080,44.9930097296080,44.9930167296080,NaN]",4,-93.17460394,44.99304436,-93.17452594,44.99303736
5,"[-93.1745253576035,44.9930029567347;-93.1744473576035,44.9930099567347]","[-93.1745253576035,-93.1744473576035,-93.1744473576035,-93.1745253576035,-93.1745253576035,NaN]","[44.9930099567347,44.9930099567347,44.9930029567347,44.9930029567347,44.9930099567347,NaN]",5,-93.17460394,44.99303736,-93.17452594,44.99303036
6,"[-93.1745253576035,44.9929962974248;-93.1744473576035,44.9930032974248]","[-93.1745253576035,-93.1744473576035,-93.1744473576035,-93.1745253576035,-93.1745253576035,NaN]","[44.9930032974248,44.9930032974248,44.9929962974248,44.9929962974248,44.9930032974248,NaN]",6,-93.17460394,44.99303036,-93.17452594,44.99302336
7,"[-93.1745254711669,44.9929892974248;-93.1744474711669,44.9929962974248]","[-93.1745254711669,-93.1744474711669,-93.1744474711669,-93.1745254711669,-93.1745254711669,NaN]","[44.9929962974248,44.9929962974248,44.9929892974248,44.9929892974248,44.9929962974248,NaN]",7,-93.17460394,44.99302336,-93.17452594,44.99301636
8,"[-93.1745255847302,44.9929828652415;-93.1744475847302,44.9929898652415]","[-93.1745255847302,-93.1744475847302,-93.1744475847302,-93.1745255847302,-93.1745255847302,NaN]","[44.9929898652415,44.9929898652415,44.9929828652415,44.9929828652415,44.9929898652415,NaN]",8,-93.17460394,44.99301636,-93.17452594,44.99300936
9,"[-93.1745261525470,44.9929765466216;-93.1744481525470,44.9929835466216]","[-93.1745261525470,-93.1744481525470,-93.1744481525470,-93.1745261525470,-93.1745261525470,NaN]","[44.9929835466216,44.9929835466216,44.9929765466216,44.9929765466216,44.9929835466216,NaN]",9,-93.17460394,44.99300936,-93.17452594,44.99300236
10,"[-93.1745260389836,44.9929693194949;-93.1744480389836,44.9929763194949]","[-93.1745260389836,-93.1744480389836,-93.1744480389836,-93.1745260389836,-93.1745260389836,NaN]","[44.9929763194949,44.9929763194949,44.9929693194949,44.9929693194949,44.9929763194949,NaN]",10,-93.17460394,44.99300236,-93.17452594,44.99299536
