#Label,Lat,Lng,Height,Time
Ground1,44.9926497723,-93.1754972128,268.145,1:01
Ground2,44.9926528240,-93.1738201124,266.746,1:03
Ground3,44.9926638124,-93.1720501274,266.997,1:05
Ground4,44.9922914625,-93.1720475774,266.592,1:06
Ground5,44.9922875770,-93.1738202152,266.419,1:07
Ground6,44.9922813662,-93.1755045646,267.900,1:09
Ground7,44.9924849306,-93.1755299694,267.156,1:09
