"","Plot","Height1"
"1","ST18:1101",56
"2","ST18:1102",30
"3","ST18:1103",62
"4","ST18:1104",66
"5","ST18:1105",36
"6","ST18:1106",58
"7","ST18:1107",38
"8","ST18:1108",36
"9","ST18:1109",70
"10","ST18:1110",63
"11","ST18:1111",60
"12","ST18:1112",60
"13","ST18:1113",60
"14","ST18:1114",58
"15","ST18:1115",69
"16","ST18:1116",64
"17","ST18:1117",34
"18","ST18:1118",35
"19","ST18:1119",38
"20","ST18:1120",66
"21","ST18:1121",39
"22","ST18:1122",34
"23","ST18:1123",60
"24","ST18:1124",32
"25","ST18:1125",63
"26","ST18:1126",34
"27","ST18:1127",59
"28","ST18:1128",39
"29","ST18:1129",37
"30","ST18:1130",41
"31","ST18:1131",61
"32","ST18:1132",36
"33","ST18:1133",40
"34","ST18:1134",34
"35","ST18:1135",59
"36","ST18:1136",61
"37","ST18:1201",61
"38","ST18:1202",67
"39","ST18:1203",74
"40","ST18:1204",59
"41","ST18:1205",60
"42","ST18:1206",63
"43","ST18:1207",58
"44","ST18:1208",57
"45","ST18:1209",62
"46","ST18:1210",64
"47","ST18:1211",71
"48","ST18:1212",68
"49","ST18:1213",57
"50","ST18:1214",61
"51","ST18:1215",56
"52","ST18:1216",53
"53","ST18:1217",61
"54","ST18:1218",69
"55","ST18:1219",63
"56","ST18:1220",59
"57","ST18:1221",65
"58","ST18:1222",64
"59","ST18:1223",65
"60","ST18:1224",61
"61","ST18:1225",65
"62","ST18:1226",77
"63","ST18:1227",67
"64","ST18:1228",62
"65","ST18:1229",68
"66","ST18:1230",70
"67","ST18:1231",59
"68","ST18:1232",75
"69","ST18:1233",70
"70","ST18:1234",61
"71","ST18:1235",71
"72","ST18:1236",63
"73","ST18:2101",43
"74","ST18:2102",38
"75","ST18:2103",39
"76","ST18:2104",37
"77","ST18:2105",41
"78","ST18:2106",32
"79","ST18:2107",33
"80","ST18:2108",35
"81","ST18:2109",34
"82","ST18:2110",41
"83","ST18:2111",35
"84","ST18:2112",40
"85","ST18:2113",25
"86","ST18:2114",35
"87","ST18:2115",39
"88","ST18:2116",39
"89","ST18:2117",34
"90","ST18:2118",35
"91","ST18:2119",37
"92","ST18:2120",32
"93","ST18:2121",37
"94","ST18:2122",34
"95","ST18:2123",39
"96","ST18:2124",42
"97","ST18:2125",35
"98","ST18:2126",38
"99","ST18:2127",41
"100","ST18:2128",34
"101","ST18:2129",39
"102","ST18:2130",33
"103","ST18:2131",33
"104","ST18:2132",49
"105","ST18:2133",36
"106","ST18:2134",35
"107","ST18:2135",36
"108","ST18:2136",35
"109","ST18:2201",46
"110","ST18:2202",38
"111","ST18:2203",40
"112","ST18:2204",44
"113","ST18:2205",34
"114","ST18:2206",38
"115","ST18:2207",35
"116","ST18:2208",39
"117","ST18:2209",41
"118","ST18:2210",35
"119","ST18:2211",39
"120","ST18:2212",39
"121","ST18:2213",34
"122","ST18:2214",31
"123","ST18:2215",40
"124","ST18:2216",37
"125","ST18:2217",33
"126","ST18:2218",34
"127","ST18:2219",39
"128","ST18:2220",33
"129","ST18:2221",38
"130","ST18:2222",32
"131","ST18:2223",34
"132","ST18:2224",36
"133","ST18:2225",38
"134","ST18:2226",38
"135","ST18:2227",32
"136","ST18:2228",35
"137","ST18:2229",37
"138","ST18:2230",32
"139","ST18:2231",33
"140","ST18:2232",42
"141","ST18:2233",37
"142","ST18:2234",40
"143","ST18:2235",32
"144","ST18:2236",41
