"","Plot","Height1"
"1","ST18:1101",98
"2","ST18:1102",92
"3","ST18:1103",102
"4","ST18:1104",109
"5","ST18:1105",109
"6","ST18:1106",105
"7","ST18:1107",119
"8","ST18:1108",111
"9","ST18:1109",118
"10","ST18:1110",103
"11","ST18:1111",105
"12","ST18:1112",100
"13","ST18:1113",107
"14","ST18:1114",99
"15","ST18:1115",109
"16","ST18:1116",106
"17","ST18:1117",99
"18","ST18:1118",107
"19","ST18:1119",108
"20","ST18:1120",105
"21","ST18:1121",113
"22","ST18:1122",106
"23","ST18:1123",110
"24","ST18:1124",91
"25","ST18:1125",109
"26","ST18:1126",93
"27","ST18:1127",102
"28","ST18:1128",107
"29","ST18:1129",112
"30","ST18:1130",108
"31","ST18:1131",116
"32","ST18:1132",112
"33","ST18:1133",114
"34","ST18:1134",106
"35","ST18:1135",103
"36","ST18:1136",112
"37","ST18:1201",102
"38","ST18:1202",112
"39","ST18:1203",121
"40","ST18:1204",114
"41","ST18:1205",107
"42","ST18:1206",105
"43","ST18:1207",106
"44","ST18:1208",103
"45","ST18:1209",102
"46","ST18:1210",115
"47","ST18:1211",111
"48","ST18:1212",111
"49","ST18:1213",105
"50","ST18:1214",109
"51","ST18:1215",101
"52","ST18:1216",101
"53","ST18:1217",106
"54","ST18:1218",122
"55","ST18:1219",122
"56","ST18:1220",103
"57","ST18:1221",108
"58","ST18:1222",118
"59","ST18:1223",120
"60","ST18:1224",101
"61","ST18:1225",119
"62","ST18:1226",119
"63","ST18:1227",101
"64","ST18:1228",108
"65","ST18:1229",111
"66","ST18:1230",113
"67","ST18:1231",105
"68","ST18:1232",116
"69","ST18:1233",114
"70","ST18:1234",110
"71","ST18:1235",111
"72","ST18:1236",109
"73","ST18:2101",75
"74","ST18:2102",72
"75","ST18:2103",71
"76","ST18:2104",71
"77","ST18:2105",65
"78","ST18:2106",58
"79","ST18:2107",63
"80","ST18:2108",63
"81","ST18:2109",60
"82","ST18:2110",71
"83","ST18:2111",63
"84","ST18:2112",70
"85","ST18:2113",62
"86","ST18:2114",56
"87","ST18:2115",70
"88","ST18:2116",61
"89","ST18:2117",58
"90","ST18:2118",57
"91","ST18:2119",67
"92","ST18:2120",59
"93","ST18:2121",72
"94","ST18:2122",59
"95","ST18:2123",66
"96","ST18:2124",72
"97","ST18:2125",65
"98","ST18:2126",61
"99","ST18:2127",69
"100","ST18:2128",64
"101","ST18:2129",62
"102","ST18:2130",63
"103","ST18:2131",69
"104","ST18:2132",68
"105","ST18:2133",55
"106","ST18:2134",59
"107","ST18:2135",61
"108","ST18:2136",63
"109","ST18:2201",69
"110","ST18:2202",60
"111","ST18:2203",65
"112","ST18:2204",66
"113","ST18:2205",65
"114","ST18:2206",63
"115","ST18:2207",65
"116","ST18:2208",66
"117","ST18:2209",68
"118","ST18:2210",70
"119","ST18:2211",65
"120","ST18:2212",74
"121","ST18:2213",63
"122","ST18:2214",57
"123","ST18:2215",76
"124","ST18:2216",65
"125","ST18:2217",57
"126","ST18:2218",74
"127","ST18:2219",64
"128","ST18:2220",56
"129","ST18:2221",59
"130","ST18:2222",65
"131","ST18:2223",72
"132","ST18:2224",77
"133","ST18:2225",64
"134","ST18:2226",65
"135","ST18:2227",63
"136","ST18:2228",58
"137","ST18:2229",59
"138","ST18:2230",54
"139","ST18:2231",61
"140","ST18:2232",61
"141","ST18:2233",67
"142","ST18:2234",69
"143","ST18:2235",62
"144","ST18:2236",62
