"","Plot","Height1"
"1","ST18:1101",233
"2","ST18:1102",246
"3","ST18:1103",268
"4","ST18:1104",270
"5","ST18:1105",238
"6","ST18:1106",236
"7","ST18:1107",237
"8","ST18:1108",250
"9","ST18:1109",220
"10","ST18:1110",211
"11","ST18:1111",214
"12","ST18:1112",246
"13","ST18:1113",287
"14","ST18:1114",290
"15","ST18:1115",270
"16","ST18:1116",273
"17","ST18:1117",270
"18","ST18:1118",276
"19","ST18:1119",271
"20","ST18:1120",270
"21","ST18:1121",254
"22","ST18:1122",248
"23","ST18:1123",276
"24","ST18:1124",261
"25","ST18:1125",281
"26","ST18:1126",268
"27","ST18:1127",238
"28","ST18:1128",263
"29","ST18:1129",252
"30","ST18:1130",267
"31","ST18:1131",226
"32","ST18:1132",218
"33","ST18:1133",249
"34","ST18:1134",275
"35","ST18:1135",249
"36","ST18:1136",254
"37","ST18:1201",266
"38","ST18:1202",252
"39","ST18:1203",236
"40","ST18:1204",224
"41","ST18:1205",274
"42","ST18:1206",209
"43","ST18:1207",278
"44","ST18:1208",270
"45","ST18:1209",280
"46","ST18:1210",264
"47","ST18:1211",268
"48","ST18:1212",223
"49","ST18:1213",293
"50","ST18:1214",237
"51","ST18:1215",263
"52","ST18:1216",261
"53","ST18:1217",202
"54","ST18:1218",236
"55","ST18:1219",278
"56","ST18:1220",257
"57","ST18:1221",224
"58","ST18:1222",267
"59","ST18:1223",248
"60","ST18:1224",272
"61","ST18:1225",251
"62","ST18:1226",246
"63","ST18:1227",270
"64","ST18:1228",250
"65","ST18:1229",267
"66","ST18:1230",217
"67","ST18:1231",223
"68","ST18:1232",261
"69","ST18:1233",273
"70","ST18:1234",276
"71","ST18:1235",271
"72","ST18:1236",232
"73","ST18:2101",299
"74","ST18:2102",308
"75","ST18:2103",289
"76","ST18:2104",273
"77","ST18:2105",289
"78","ST18:2106",259
"79","ST18:2107",271
"80","ST18:2108",277
"81","ST18:2109",311
"82","ST18:2110",293
"83","ST18:2111",318
"84","ST18:2112",288
"85","ST18:2113",262
"86","ST18:2114",273
"87","ST18:2115",283
"88","ST18:2116",297
"89","ST18:2117",288
"90","ST18:2118",306
"91","ST18:2119",278
"92","ST18:2120",317
"93","ST18:2121",256
"94","ST18:2122",281
"95","ST18:2123",284
"96","ST18:2124",282
"97","ST18:2125",275
"98","ST18:2126",255
"99","ST18:2127",297
"100","ST18:2128",261
"101","ST18:2129",287
"102","ST18:2130",262
"103","ST18:2131",281
"104","ST18:2132",292
"105","ST18:2133",306
"106","ST18:2134",271
"107","ST18:2135",299
"108","ST18:2136",323
"109","ST18:2201",288
"110","ST18:2202",285
"111","ST18:2203",299
"112","ST18:2204",294
"113","ST18:2205",281
"114","ST18:2206",300
"115","ST18:2207",265
"116","ST18:2208",302
"117","ST18:2209",313
"118","ST18:2210",260
"119","ST18:2211",302
"120","ST18:2212",280
"121","ST18:2213",289
"122","ST18:2214",249
"123","ST18:2215",275
"124","ST18:2216",290
"125","ST18:2217",267
"126","ST18:2218",254
"127","ST18:2219",280
"128","ST18:2220",257
"129","ST18:2221",267
"130","ST18:2222",269
"131","ST18:2223",250
"132","ST18:2224",280
"133","ST18:2225",278
"134","ST18:2226",274
"135","ST18:2227",308
"136","ST18:2228",273
"137","ST18:2229",272
"138","ST18:2230",290
"139","ST18:2231",279
"140","ST18:2232",283
"141","ST18:2233",316
"142","ST18:2234",287
"143","ST18:2235",283
"144","ST18:2236",290
