"","Plot","Height1"
"1","ST18:1101",155
"2","ST18:1102",144
"3","ST18:1103",153
"4","ST18:1104",146
"5","ST18:1105",159
"6","ST18:1106",156
"7","ST18:1107",163
"8","ST18:1108",159
"9","ST18:1109",162
"10","ST18:1110",134
"11","ST18:1111",143
"12","ST18:1112",143
"13","ST18:1113",147
"14","ST18:1114",155
"15","ST18:1115",163
"16","ST18:1116",154
"17","ST18:1117",131
"18","ST18:1118",150
"19","ST18:1119",157
"20","ST18:1120",152
"21","ST18:1121",166
"22","ST18:1122",156
"23","ST18:1123",157
"24","ST18:1124",133
"25","ST18:1125",158
"26","ST18:1126",131
"27","ST18:1127",149
"28","ST18:1128",162
"29","ST18:1129",165
"30","ST18:1130",159
"31","ST18:1131",177
"32","ST18:1132",160
"33","ST18:1133",166
"34","ST18:1134",150
"35","ST18:1135",143
"36","ST18:1136",166
"37","ST18:1201",168
"38","ST18:1202",164
"39","ST18:1203",176
"40","ST18:1204",154
"41","ST18:1205",153
"42","ST18:1206",143
"43","ST18:1207",155
"44","ST18:1208",152
"45","ST18:1209",131
"46","ST18:1210",168
"47","ST18:1211",154
"48","ST18:1212",156
"49","ST18:1213",152
"50","ST18:1214",154
"51","ST18:1215",148
"52","ST18:1216",151
"53","ST18:1217",147
"54","ST18:1218",174
"55","ST18:1219",173
"56","ST18:1220",131
"57","ST18:1221",160
"58","ST18:1222",167
"59","ST18:1223",169
"60","ST18:1224",149
"61","ST18:1225",171
"62","ST18:1226",172
"63","ST18:1227",141
"64","ST18:1228",156
"65","ST18:1229",153
"66","ST18:1230",170
"67","ST18:1231",147
"68","ST18:1232",169
"69","ST18:1233",155
"70","ST18:1234",167
"71","ST18:1235",160
"72","ST18:1236",168
"73","ST18:2101",113
"74","ST18:2102",101
"75","ST18:2103",104
"76","ST18:2104",98
"77","ST18:2105",98
"78","ST18:2106",82
"79","ST18:2107",97
"80","ST18:2108",93
"81","ST18:2109",104
"82","ST18:2110",110
"83","ST18:2111",101
"84","ST18:2112",107
"85","ST18:2113",98
"86","ST18:2114",99
"87","ST18:2115",105
"88","ST18:2116",93
"89","ST18:2117",97
"90","ST18:2118",97
"91","ST18:2119",106
"92","ST18:2120",99
"93","ST18:2121",111
"94","ST18:2122",95
"95","ST18:2123",102
"96","ST18:2124",113
"97","ST18:2125",103
"98","ST18:2126",97
"99","ST18:2127",116
"100","ST18:2128",100
"101","ST18:2129",100
"102","ST18:2130",102
"103","ST18:2131",100
"104","ST18:2132",108
"105","ST18:2133",98
"106","ST18:2134",89
"107","ST18:2135",95
"108","ST18:2136",112
"109","ST18:2201",116
"110","ST18:2202",104
"111","ST18:2203",112
"112","ST18:2204",114
"113","ST18:2205",99
"114","ST18:2206",113
"115","ST18:2207",105
"116","ST18:2208",108
"117","ST18:2209",112
"118","ST18:2210",115
"119","ST18:2211",107
"120","ST18:2212",110
"121","ST18:2213",106
"122","ST18:2214",88
"123","ST18:2215",105
"124","ST18:2216",102
"125","ST18:2217",95
"126","ST18:2218",112
"127","ST18:2219",110
"128","ST18:2220",93
"129","ST18:2221",103
"130","ST18:2222",98
"131","ST18:2223",105
"132","ST18:2224",111
"133","ST18:2225",100
"134","ST18:2226",104
"135","ST18:2227",98
"136","ST18:2228",94
"137","ST18:2229",97
"138","ST18:2230",88
"139","ST18:2231",95
"140","ST18:2232",98
"141","ST18:2233",96
"142","ST18:2234",110
"143","ST18:2235",96
"144","ST18:2236",106
