"","Plot","Height1"
"1","ST18:1101",233
"2","ST18:1102",242
"3","ST18:1103",272
"4","ST18:1104",274
"5","ST18:1105",238
"6","ST18:1106",235
"7","ST18:1107",231
"8","ST18:1108",247
"9","ST18:1109",218
"10","ST18:1110",211
"11","ST18:1111",210
"12","ST18:1112",247
"13","ST18:1113",283
"14","ST18:1114",291
"15","ST18:1115",272
"16","ST18:1116",266
"17","ST18:1117",272
"18","ST18:1118",278
"19","ST18:1119",276
"20","ST18:1120",279
"21","ST18:1121",250
"22","ST18:1122",248
"23","ST18:1123",286
"24","ST18:1124",261
"25","ST18:1125",281
"26","ST18:1126",270
"27","ST18:1127",244
"28","ST18:1128",266
"29","ST18:1129",254
"30","ST18:1130",270
"31","ST18:1131",219
"32","ST18:1132",218
"33","ST18:1133",251
"34","ST18:1134",286
"35","ST18:1135",248
"36","ST18:1136",255
"37","ST18:1201",267
"38","ST18:1202",252
"39","ST18:1203",240
"40","ST18:1204",225
"41","ST18:1205",277
"42","ST18:1206",214
"43","ST18:1207",281
"44","ST18:1208",274
"45","ST18:1209",277
"46","ST18:1210",264
"47","ST18:1211",268
"48","ST18:1212",224
"49","ST18:1213",290
"50","ST18:1214",235
"51","ST18:1215",257
"52","ST18:1216",264
"53","ST18:1217",201
"54","ST18:1218",235
"55","ST18:1219",274
"56","ST18:1220",254
"57","ST18:1221",223
"58","ST18:1222",272
"59","ST18:1223",249
"60","ST18:1224",273
"61","ST18:1225",244
"62","ST18:1226",244
"63","ST18:1227",269
"64","ST18:1228",250
"65","ST18:1229",262
"66","ST18:1230",210
"67","ST18:1231",226
"68","ST18:1232",262
"69","ST18:1233",272
"70","ST18:1234",275
"71","ST18:1235",273
"72","ST18:1236",239
"73","ST18:2101",283
"74","ST18:2102",298
"75","ST18:2103",293
"76","ST18:2104",271
"77","ST18:2105",288
"78","ST18:2106",261
"79","ST18:2107",256
"80","ST18:2108",269
"81","ST18:2109",293
"82","ST18:2110",278
"83","ST18:2111",311
"84","ST18:2112",283
"85","ST18:2113",260
"86","ST18:2114",272
"87","ST18:2115",282
"88","ST18:2116",296
"89","ST18:2117",290
"90","ST18:2118",288
"91","ST18:2119",265
"92","ST18:2120",303
"93","ST18:2121",257
"94","ST18:2122",282
"95","ST18:2123",280
"96","ST18:2124",284
"97","ST18:2125",273
"98","ST18:2126",257
"99","ST18:2127",282
"100","ST18:2128",258
"101","ST18:2129",275
"102","ST18:2130",260
"103","ST18:2131",283
"104","ST18:2132",275
"105","ST18:2133",295
"106","ST18:2134",272
"107","ST18:2135",299
"108","ST18:2136",306
"109","ST18:2201",285
"110","ST18:2202",297
"111","ST18:2203",295
"112","ST18:2204",288
"113","ST18:2205",284
"114","ST18:2206",287
"115","ST18:2207",270
"116","ST18:2208",307
"117","ST18:2209",310
"118","ST18:2210",256
"119","ST18:2211",293
"120","ST18:2212",280
"121","ST18:2213",285
"122","ST18:2214",253
"123","ST18:2215",278
"124","ST18:2216",285
"125","ST18:2217",261
"126","ST18:2218",248
"127","ST18:2219",281
"128","ST18:2220",258
"129","ST18:2221",268
"130","ST18:2222",265
"131","ST18:2223",263
"132","ST18:2224",270
"133","ST18:2225",277
"134","ST18:2226",284
"135","ST18:2227",286
"136","ST18:2228",263
"137","ST18:2229",265
"138","ST18:2230",287
"139","ST18:2231",276
"140","ST18:2232",284
"141","ST18:2233",311
"142","ST18:2234",279
"143","ST18:2235",276
"144","ST18:2236",274
