"","Plot","Height1"
"1","ST18:1101",228
"2","ST18:1102",236
"3","ST18:1103",268
"4","ST18:1104",260
"5","ST18:1105",230
"6","ST18:1106",232
"7","ST18:1107",225
"8","ST18:1108",237
"9","ST18:1109",224
"10","ST18:1110",205
"11","ST18:1111",206
"12","ST18:1112",245
"13","ST18:1113",289
"14","ST18:1114",288
"15","ST18:1115",255
"16","ST18:1116",269
"17","ST18:1117",261
"18","ST18:1118",272
"19","ST18:1119",271
"20","ST18:1120",251
"21","ST18:1121",250
"22","ST18:1122",242
"23","ST18:1123",284
"24","ST18:1124",254
"25","ST18:1125",280
"26","ST18:1126",257
"27","ST18:1127",256
"28","ST18:1128",254
"29","ST18:1129",250
"30","ST18:1130",262
"31","ST18:1131",236
"32","ST18:1132",217
"33","ST18:1133",232
"34","ST18:1134",282
"35","ST18:1135",250
"36","ST18:1136",256
"37","ST18:1201",258
"38","ST18:1202",251
"39","ST18:1203",219
"40","ST18:1204",219
"41","ST18:1205",277
"42","ST18:1206",208
"43","ST18:1207",264
"44","ST18:1208",273
"45","ST18:1209",274
"46","ST18:1210",275
"47","ST18:1211",245
"48","ST18:1212",224
"49","ST18:1213",280
"50","ST18:1214",236
"51","ST18:1215",260
"52","ST18:1216",268
"53","ST18:1217",200
"54","ST18:1218",238
"55","ST18:1219",281
"56","ST18:1220",256
"57","ST18:1221",227
"58","ST18:1222",262
"59","ST18:1223",256
"60","ST18:1224",276
"61","ST18:1225",252
"62","ST18:1226",250
"63","ST18:1227",269
"64","ST18:1228",252
"65","ST18:1229",264
"66","ST18:1230",212
"67","ST18:1231",222
"68","ST18:1232",247
"69","ST18:1233",245
"70","ST18:1234",272
"71","ST18:1235",272
"72","ST18:1236",240
"73","ST18:2101",239
"74","ST18:2102",268
"75","ST18:2103",255
"76","ST18:2104",242
"77","ST18:2105",255
"78","ST18:2106",241
"79","ST18:2107",227
"80","ST18:2108",226
"81","ST18:2109",254
"82","ST18:2110",261
"83","ST18:2111",269
"84","ST18:2112",252
"85","ST18:2113",239
"86","ST18:2114",238
"87","ST18:2115",267
"88","ST18:2116",260
"89","ST18:2117",260
"90","ST18:2118",243
"91","ST18:2119",232
"92","ST18:2120",266
"93","ST18:2121",246
"94","ST18:2122",261
"95","ST18:2123",232
"96","ST18:2124",252
"97","ST18:2125",241
"98","ST18:2126",250
"99","ST18:2127",235
"100","ST18:2128",233
"101","ST18:2129",245
"102","ST18:2130",237
"103","ST18:2131",252
"104","ST18:2132",243
"105","ST18:2133",246
"106","ST18:2134",255
"107","ST18:2135",254
"108","ST18:2136",268
"109","ST18:2201",262
"110","ST18:2202",269
"111","ST18:2203",269
"112","ST18:2204",265
"113","ST18:2205",260
"114","ST18:2206",241
"115","ST18:2207",252
"116","ST18:2208",272
"117","ST18:2209",260
"118","ST18:2210",248
"119","ST18:2211",254
"120","ST18:2212",254
"121","ST18:2213",243
"122","ST18:2214",231
"123","ST18:2215",231
"124","ST18:2216",246
"125","ST18:2217",231
"126","ST18:2218",240
"127","ST18:2219",245
"128","ST18:2220",245
"129","ST18:2221",244
"130","ST18:2222",233
"131","ST18:2223",245
"132","ST18:2224",242
"133","ST18:2225",232
"134","ST18:2226",246
"135","ST18:2227",251
"136","ST18:2228",240
"137","ST18:2229",243
"138","ST18:2230",250
"139","ST18:2231",251
"140","ST18:2232",254
"141","ST18:2233",264
"142","ST18:2234",244
"143","ST18:2235",253
"144","ST18:2236",256
