Plot,Height1,Height2,Height3,Height4,Height5
ERA20:1001,35,34,30,40,41.5
ERA20:1004,29,32,36,42,36
HIPH20:501,34,32,39,34,30.5
HIPI20:545,28,27,28,27,26
HIPI20:549,22,23,14,21,23.5
ERA20:3005,40,40,42,39,40
ERA20:3008,49,43,40,40,39
HIPH20:521,40,39,32,35.5,51
HIPI20:565,29.5,23,26,26,32
HIPI20:569,31,29,28,24,25
ERA20:6010,51,45.5,47,42,50
ERA20:6007,50,47,45,40,38
HIPH20:541,40,44,42,40,38
HIPI20:585,42,39,44,32,43
HIPI20:580,29,19,25,27,26
YC20:1002,18,17.5,19,22.5,20.5
YC20:1015,19,20,19,16.5,20
YC20:1026,26,27,26.5,24,27
YC20:1039,24,21,20,25,19
YC20:1047,20,18,19.5,15.5,16
YC20:1287,30,27,28,27.5,25
YC20:1274,17,20,19,19,21
YC20:1263,20,22,22.5,22,23
YC20:1251,25,24,28,28,22
YC20:1242,19,20.5,19,20,19
YC20:2055,25,34,26,30,31
YC20:1495,20,24,25,22.5,19
YC20:1506,23,22,23,28,23
YC20:1518,22,19,20,21,24
YC20:2007,20,20,23,20,22.5
YC20:2247,25,24,28,23,21.5
YC20:2234,21,19,24,24,31
YC20:2223,27,30,25,21,19.5
YC20:2211,20,21.5,23,24,23.5
YC20:2202,23,22,20,17.5,18.5
YC20:2439,26,21,26,32,23
YC20:2456,23,27,28,29,24
YC20:2467,26,23,26,24.5,23
YC20:2477,23,22.5,20,18,20
YC20:2488,22,21,27,22,20
