Plot,Height1,Height2,Height3,Height4,Height5
ERA20:1001,145,169,161,175,163
ERA20:1004,130,136,145,144,150
HIPH20:501,165,180,182,185,170
HIPI20:545,140,135,144,140,142
HIPI20:549,99,95,94,91,100
ERA20:3005,165,180,186,180,178
ERA20:3008,166,180,175,170,180
HIPH20:521,176,195,186,180,198
HIPI20:565,116,111,116,121,118
HIPI20:569,121,136,138,127,139
ERA20:6010,185,190,189,200,210
ERA20:6007,170,172,170,163,174
HIPH20:541,173,182,175,174,170
HIPI20:585,138,143,155,159,150
HIPI20:580,143,144,120,130,127
YC20:1002,101,103,95,118,119
YC20:1015,100,95,100,94,100
YC20:1026,115,120,120,119,112
YC20:1039,104,102,105,110,120
YC20:1047,89,90,103,95,91
YC20:1287,124,119,116,125,120
YC20:1274,89,88,85,102,100
YC20:1263,110,109,108,110,96
YC20:1251,104,105,114,105,84
YC20:1242,100,90,100,90,100
YC20:2055,101,97,104,130,123
YC20:1495,95,100,97,94,103
YC20:1506,80,82,90,95,89
YC20:1518,99,90,85,100,96
YC20:2007,97,100,90,102,100
YC20:2247,105,119,119,125,125
YC20:2234,100,104,105,104,99
YC20:2223,102,104,117,114,103
YC20:2211,95,105,95,97,91
YC20:2202,109,94,105,104,109
YC20:2439,104,106,114,130,104
YC20:2456,113,99,115,119,122
YC20:2467,125,119,118,120,114
YC20:2477,105,101,100,103,99
YC20:2488,105,117,110,105,92
