Plot,Height1,Height2,Height3,Height4,Height5
ERA20:1001,54,56,56,62.5,58.5
ERA20:1004,48,63.5,58,56,54
HIPH20:501,56.5,60.5,51,67,52
HIPI20:545,42.5,56.5,47.5,51,55.5
HIPI20:549,37,40,35.5,28.5,38.5
ERA20:3005,71,67.5,67,66.5,63.5
ERA20:3008,64.5,69.5,76,66,80
HIPH20:521,64,72,61,71,67.5
HIPI20:565,45,48.5,45.5,43.5,48.5
HIPI20:569,53.5,52,53.5,50.5,61
ERA20:6010,76,73.5,77,75,75.5
ERA20:6007,69.5,64,67.5,65.5,63.5
HIPH20:541,67.5,70,65.5,66.5,69.5
HIPI20:585,51,58.5,62.5,56,60.5
HIPI20:580,47,46.5,47.5,41,49.5
YC20:1002,37.5,42,36.5,38,41
YC20:1015,44,47,37,34.5,36.5
YC20:1026,46.5,44.5,46.5,48.5,54
YC20:1039,45.5,48.5,49,44.5,48
YC20:1047,30.5,38,37,29,30.5
YC20:1287,43,51.5,52,47,52.5
YC20:1274,41.5,37,36.5,40,39
YC20:1263,37,40.5,41,43,41.5
YC20:1251,41.5,40.5,55,45,46
YC20:1242,32.5,41,34.5,36,36
YC20:2055,38,41,47.5,55.5,50
YC20:1495,39.5,37,36.5,38,35.5
YC20:1506,34,34.5,40,39,35.5
YC20:1518,43,42,35.5,37.5,30
YC20:2007,43,40,40,38.5,41
YC20:2247,35,41.5,35.5,51,49
YC20:2234,38.5,39.5,40.5,38,38
YC20:2223,40,41,36,34.5,36
YC20:2211,42.5,41.5,40,38,41.5
YC20:2202,43.5,40,40,33.5,38.5
YC20:2439,39,49.5,37,41,41
YC20:2456,40.5,50,46.5,43.5,47.5
YC20:2467,46,45,47,46,43
YC20:2477,37,39.5,42,39,31.5
YC20:2488,41,42,35.5,36,45.5
