Plot,Height1,Height2,Height3,Height4,Height5
ERA20:1001,247,245,247,252,241
ERA20:1004,208,207,234,224,229
HIPH20:501,245,240,243,237,254
HIPI20:545,204,209,196,210,227
HIPI20:549,140,139,140,136,133
ERA20:3005,251,259,263,265,260
ERA20:3008,258,242,262,261,252
HIPH20:521,263,265,259,255,266
HIPI20:565,166,168,172,167,170
HIPI20:569,183,187,191,189,191
ERA20:6010,262,276,273,276,268
ERA20:6007,259,256,257,263,262
HIPH20:541,244,248,255,248,247
HIPI20:585,209,221,222,224,215
HIPI20:580,184,187,184,174,192
YC20:1002,160,182,164,172,174
YC20:1015,150,149,159,149,160
YC20:1026,165,171,167,149,158
YC20:1039,179,164,163,175,176
YC20:1047,121,147,158,147,131
YC20:1287,171,175,176,163,176
YC20:1274,124,137,136,152,148
YC20:1263,166,169,176,176,179
YC20:1251,137,151,161,164,155
YC20:1242,149,161,167,165,159
YC20:2055,174,177,178,169,169
YC20:1495,131,144,145,138,156
YC20:1506,137,123,123,126,124
YC20:1518,133,125,126,135,131
YC20:2007,144,139,128,139,143
YC20:2247,177,165,180,174,166
YC20:2234,144,149,154,152,164
YC20:2223,171,174,182,158,155
YC20:2211,136,129,135,131,121
YC20:2202,152,164,158,159,158
YC20:2439,161,167,169,154,165
YC20:2456,162,170,168,174,161
YC20:2467,191,180,181,190,189
YC20:2477,143,138,148,143,144
YC20:2488,152,157,148,152,146
