Plot,Height1,Height2,Height3,Height4,Height5
ERA20:1001,85,84,89,89,92
ERA20:1004,73,78,84,81,82
HIPH20:501,96,98,97,88,90
HIPI20:545,91,83,74,67,78
HIPI20:549,49,52,54,50.5,47
ERA20:3005,95.5,100,105,105,100
ERA20:3008,100,102,110,97.5,98.5
HIPH20:521,100,103,104,110,105
HIPI20:565,67,70,63,64,69
HIPI20:569,78,85,82,90,84
ERA20:6010,104,130,134,119,120
ERA20:6007,102,100,104,99,100
HIPH20:541,93,92,97,101,101
HIPI20:585,86,79,78,81,87
HIPI20:580,78.5,73,58,58,84
YC20:1002,52,65,51,54,58
YC20:1015,47,43,48,54,50
YC20:1026,75,82,86,80,74
YC20:1039,68,63,72,66,57
YC20:1047,43,47,51,56,53
YC20:1287,72,78,72,77,68
YC20:1274,56,54,63,63,55
YC20:1263,62,68,57,60,64
YC20:1251,56,58,59,69,62
YC20:1242,58,46,52.5,54,52
YC20:2055,60,60,69,67,82
YC20:1495,56,63,59,55,54
YC20:1506,60,47,55,59,62
YC20:1518,62,59,52,60,53
YC20:2007,59,61,60,62,59
YC20:2247,60,71,63,56,68
YC20:2234,53,54,62,66,70
YC20:2223,59,50,62,56,53
YC20:2211,67,62,61,64,53
YC20:2202,54,62,60,57,54
YC20:2439,62,64,70,75,72
YC20:2456,64,66,69,67,68
YC20:2467,75,67,73,65,64
YC20:2477,62,60,62,57,54
YC20:2488,63,70,61,51,67
