Plot,Height1,Height2,Height3,Height4,Height5
ERA20:1001,302,311,309,303,294
ERA20:1004,291,286,282,282,287
HIPH20:501,331,328,322,317,333
HIPI20:545,240,240,227,234,237
HIPI20:549,215,223,225,222,225
ERA20:3005,267,273,262,290,292
ERA20:3008,277,289,279,290,292
HIPH20:521,318,314,318,328,314
HIPI20:565,253,258,260,238,241
HIPI20:569,259,244,257,243,249
ERA20:6010,291,289,292,292,290
ERA20:6007,276,276,275,285,278
HIPH20:541,307,321,313,321,309
HIPI20:585,245,243,240,251,247
HIPI20:580,245,265,270,251,256
YC20:1002,210,208,206,218,215
YC20:1015,222,213,228,221,224
YC20:1026,223,220,222,223,221
YC20:1039,220,228,233,225,210
YC20:1047,205,204,213,215,209
YC20:1287,195,202,198,196,194
YC20:1274,212,213,209,219,222
YC20:1263,250,238,257,244,251
YC20:1251,205,212,204,210,208
YC20:1242,227,236,239,241,233
YC20:2055,235,241,235,226,232
YC20:1495,187,188,182,188,200
YC20:1506,222,213,210,220,217
YC20:1518,175,183,185,183,176
YC20:2007,181,186,183,180,172
YC20:2247,227,216,233,234,229
YC20:2234,177,203,164,177,186
YC20:2223,221,224,223,213,235
YC20:2211,181,174,178,189,184
YC20:2202,224,230,225,223,225
YC20:2439,204,200,216,222,210
YC20:2456,187,181,196,185,190
YC20:2467,255,262,262,273,261
YC20:2477,190,192,205,204,211
YC20:2488,209,214,230,222,214
