Plot,Height1,Height2,Height3,Height4,Height5
ERA20:1001,298,296,290,306,302
ERA20:1004,283,292,298,282,285
HIPH20:501,331,329,328,305,325
HIPI20:545,240,228,242,252,230
HIPI20:549,209,203,208,220,201
ERA20:3005,275,277,280,282,271
ERA20:3008,256,275,297,286,285
HIPH20:521,318,319,311,317,294
HIPI20:565,236,218,233,238,236
HIPI20:569,242,248,236,246,248
ERA20:6010,293,290,298,289,286
ERA20:6007,282,280,284,279,278
HIPH20:541,324,325,323,319,314
HIPI20:585,247,250,250,245,240
HIPI20:580,258,253,246,234,235
YC20:1002,210,218,205,216,212
YC20:1015,201,188,215,205,205
YC20:1026,208,211,212,214,213
YC20:1039,216,226,226,212,220
YC20:1047,196,208,193,215,194
YC20:1287,175,181,195,183,189
YC20:1274,205,206,217,211,222
YC20:1263,213,231,224,238,233
YC20:1251,198,212,205,208,200
YC20:1242,216,217,226,216,215
YC20:2055,216,219,231,238,231
YC20:1495,174,177,196,183,178
YC20:1506,200,204,204,196,206
YC20:1518,180,179,182,184,188
YC20:2007,172,184,182,181,175
YC20:2247,229,219,227,232,225
YC20:2234,175,163,185,178,185
YC20:2223,220,222,220,231,221
YC20:2211,182,171,180,179,173
YC20:2202,212,220,205,200,195
YC20:2439,202,193,206,192,201
YC20:2456,182,190,196,185,188
YC20:2467,245,255,255,250,249
YC20:2477,209,206,200,202,200
YC20:2488,198,208,209,214,197
