Plot,Height1,Height2,Height3,Height4,Height5
ERA20:1001,271,281,273,274,272
ERA20:1004,249,266,272,272,264
HIPH20:501,271,280,279,274,271
HIPI20:545,220,246,232,237,249
HIPI20:549,176,161,161,167,163
ERA20:3005,273,283,280,271,276
ERA20:3008,271,268,280,282,281
HIPH20:521,276,290,280,291,280
HIPI20:565,193,202,204,202,196
HIPI20:569,216,212,208,209,214
ERA20:6010,278,286,282,284,283
ERA20:6007,278,279,277,274,274
HIPH20:541,260,275,279,274,263
HIPI20:585,238,246,240,240,243
HIPI20:580,224,226,218,216,220
YC20:1002,196,207,200,207,191
YC20:1015,183,180,189,182,182
YC20:1026,178,182,179,183,178
YC20:1039,198,196,197,194,194
YC20:1047,175,184,172,180,170
YC20:1287,184,193,190,182,183
YC20:1274,158,171,174,175,171
YC20:1263,197,198,196,196,204
YC20:1251,182,198,188,195,180
YC20:1242,191,182,187,189,186
YC20:2055,179,181,192,193,197
YC20:1495,177,178,167,184,170
YC20:1506,163,155,158,155,165
YC20:1518,158,153,145,150,163
YC20:2007,182,175,177,176,174
YC20:2247,195,191,193,210,201
YC20:2234,176,182,170,171,175
YC20:2223,205,198,212,192,206
YC20:2211,173,158,164,170,163
YC20:2202,181,184,182,184,177
YC20:2439,182,185,186,181,181
YC20:2456,176,171,175,185,175
YC20:2467,210,213,216,215,219
YC20:2477,182,166,168,176,172
YC20:2488,185,186,184,174,181
