Plot,Height1,Height2,Height3,Height4,Height5
ERA20:1001,20,21,22.5,30,20
ERA20:1004,20,16.5,26,20.3,26
HIPH20:501,21,20.5,19,16,16
HIPI20:545,18.5,17.5,17,18.5,16.5
HIPI20:549,12,13,10,11.5,14.5
ERA20:3005,34,24.5,25,25,24.5
ERA20:3008,31,28.5,25,23.5,23
HIPH20:521,25,29,24,24.5,27.5
HIPI20:565,17,14,17,17.5,16
HIPI20:569,15.5,18,14.5,18,20.5
ERA20:6010,31,32,32,34.5,29.5
ERA20:6007,26,25.5,23.5,25,27
HIPH20:541,20.5,20,19,21,18.5
HIPI20:585,17.5,26,26.5,21,16.5
HIPI20:580,12.5,16,14,16.5,13
YC20:1002,8.5,9,16,15.5,12
YC20:1015,12,10,8.5,8,10
YC20:1026,14.5,16,12.5,14,13
YC20:1039,13,15.5,13.5,13,14.5
YC20:1047,11.5,9.5,11.5,12,9
YC20:1287,20.5,16.5,20,21,19.5
YC20:1274,12.5,12,8.5,12,14
YC20:1263,16,14,16,15.5,17.5
YC20:1251,14.5,14,16,20,16.5
YC20:1242,8,11.5,13,12,15
YC20:2055,14,21.5,19,19,20
YC20:1495,12,15.5,13.5,13,11.5
YC20:1506,17,15,15.5,16,16
YC20:1518,11,12,7,14,10
YC20:2007,16.5,20,15,14,15
YC20:2247,9.5,15.5,17,14,12.5
YC20:2234,14,8.5,13.5,11,17.5
YC20:2223,18,12,17,12.5,14.5
YC20:2211,16.5,15.5,17,15,14
YC20:2202,12,11,12,9.5,12.5
YC20:2439,15.5,15,13.5,18,18.5
YC20:2456,21.5,18,18,17,13.5
YC20:2467,18,18,18.5,22,21
YC20:2477,13,14,10.5,12.5,11.5
YC20:2488,22,19,21,17,13.5
