Fields,BoundingBox,X,Y,id,left,top,right,bottom
42,"[-93.1734042650192,44.9937995069046;-93.1733292650192,44.9938065069046]","[-93.1734042650192,-93.1733292650192,-93.1733292650192,-93.1734042650192,-93.1734042650192,NaN]","[44.9938065069046,44.9938065069046,44.9937995069046,44.9937995069046,44.9938065069046,NaN]",42,-93.17339804,44.99381182,44.99381182,44.99380482
43,"[-93.1733933700057,44.9937922469910;-93.1733183700057,44.9937992469910]","[-93.1733933700057,-93.1733183700057,-93.1733183700057,-93.1733933700057,-93.1733933700057,NaN]","[44.9937992469910,44.9937992469910,44.9937922469910,44.9937922469910,44.9937992469910,NaN]",43,-93.17339804,44.99380482,44.99380482,44.99379782
44,"[-93.1733931792212,44.9937858265015;-93.1733181792212,44.9937928265015]","[-93.1733931792212,-93.1733181792212,-93.1733181792212,-93.1733931792212,-93.1733931792212,NaN]","[44.9937928265015,44.9937928265015,44.9937858265015,44.9937858265015,44.9937928265015,NaN]",44,-93.17339804,44.99379782,44.99379782,44.99379082
45,"[-93.1734012687266,44.9937782597628;-93.1733262687266,44.9937852597628]","[-93.1734012687266,-93.1733262687266,-93.1733262687266,-93.1734012687266,-93.1734012687266,NaN]","[44.9937852597628,44.9937852597628,44.9937782597628,44.9937782597628,44.9937852597628,NaN]",45,-93.17339804,44.99379082,44.99379082,44.99378382
46,"[-93.1734011243281,44.9937713532571;-93.1733261243281,44.9937783532571]","[-93.1734011243281,-93.1733261243281,-93.1733261243281,-93.1734011243281,-93.1734011243281,NaN]","[44.9937783532571,44.9937783532571,44.9937713532571,44.9937713532571,44.9937783532571,NaN]",46,-93.17339804,44.99378382,44.99378382,44.99377682
47,"[-93.1733949266711,44.9937643723012;-93.1733199266711,44.9937713723012]","[-93.1733949266711,-93.1733199266711,-93.1733199266711,-93.1733949266711,-93.1733949266711,NaN]","[44.9937713723012,44.9937713723012,44.9937643723012,44.9937643723012,44.9937713723012,NaN]",47,-93.17339804,44.99377682,44.99377682,44.99376982
48,"[-93.1733948236548,44.9937573627792;-93.1733198236548,44.9937643627792]","[-93.1733948236548,-93.1733198236548,-93.1733198236548,-93.1733948236548,-93.1733948236548,NaN]","[44.9937643627792,44.9937643627792,44.9937573627792,44.9937573627792,44.9937643627792,NaN]",48,-93.17339804,44.99376982,44.99376982,44.99376282
49,"[-93.1733261974916,44.9940861190312;-93.1732511974916,44.9940931190312]","[-93.1733261974916,-93.1732511974916,-93.1732511974916,-93.1733261974916,-93.1733261974916,NaN]","[44.9940931190312,44.9940931190312,44.9940861190312,44.9940861190312,44.9940931190312,NaN]",50,-93.17332304,44.99409882,44.99409882,44.99409182
50,"[-93.1733260672882,44.9940793084109;-93.1732510672882,44.9940863084109]","[-93.1733260672882,-93.1732510672882,-93.1732510672882,-93.1733260672882,-93.1733260672882,NaN]","[44.9940863084109,44.9940863084109,44.9940793084109,44.9940793084109,44.9940863084109,NaN]",51,-93.17332304,44.99409182,44.99409182,44.99408482
51,"[-93.1733186852077,44.9940717234662;-93.1732436852077,44.9940787234662]","[-93.1733186852077,-93.1732436852077,-93.1732436852077,-93.1733186852077,-93.1733186852077,NaN]","[44.9940787234662,44.9940787234662,44.9940717234662,44.9940717234662,44.9940787234662,NaN]",52,-93.17332304,44.99408482,44.99408482,44.99407782
