"RainfallTotal","cum.rain","Date"
0,0,0
0.01,0,0
0.06,0,0
0.13,0,0
0.37,0,0
0.03,0,0
0.64,0,0
0.16,0,0
0.48,0,0
1.2,0,0
0.25,0,0
0.3,0,0
0.51,0,0
0.22,0,0
0.19,0,0
0.12,0,0
0.02,0,0
0.04,0,0
0.24,0,0
0.43,0,0
0,0,2.81
0,0,9.87
0,0,18.565
0,0,30.135
0,0,40.535
0,0,52.565
0.06,0.06,66.835
0.75,0.81,84.4
0.11,0.92,103.175
0.73,1.65,123.575
0,1.65,148.035
0,1.65,166.495
0.21,1.86,190.385
0.29,2.15,212.58
0,2.15,219.71
0.66,2.81,219.71
0.03,2.84,219.71
0,2.84,220.585
0.01,2.85,227.015
0,2.85,240.945
0,2.85,255.165
0,2.85,274.615
0,2.85,301.425
0,2.85,333.42
0,2.85,369.625
0,2.85,402.27
0,2.85,435.06
0,2.85,468.465
0,2.85,499.945
0,2.85,534.935
0,2.85,565.32
0,2.85,588.675
0,2.85,613.34
0,2.85,633.85
0,2.85,652.79
0,2.85,674.475
0,2.85,700.79
0,2.85,724.315
0,2.85,742.81
0.71,3.56,758.125
0,3.56,765.045
0,3.56,775.38
0,3.56,796.72
0,3.56,823.65
0,3.56,845.89
0.07,3.63,864.81
0.03,3.66,886.67
0.66,4.32,908.675
0.01,4.33,930.97
0,4.33,954.76
0,4.33,980.37
0,4.33,1000.06
0,4.33,1025.33
0,4.33,1057.185
0,4.33,1090.295
0.34,4.67,1106.945
0,4.67,1115.01
0,4.67,1125.535
0,4.67,1142.77
0,4.67,1163.06
0,4.67,1184.44
0,4.67,1203.26
0,4.67,1226.23
0.65,5.32,1244.175
0,5.32,1263.61
0,5.32,1283.925
0,5.32,1306.22
0,5.32,1329.865
0,5.32,1356.185
0,5.32,1382.1
0,5.32,1403.925
0,5.32,1430.195
0,5.32,1461.875
0.28,5.6,1491.35
0,5.6,1516.575
0.1,5.7,1544.305
0,5.7,1576.635
0.1,5.8,1606.745
0,5.8,1629.59
0,5.8,1649.235
0,5.8,1671.155
0,5.8,1689.55
0,5.8,1709.135
0,5.8,1730.81
0,5.8,1754.275
0.18,5.98,1778.01
0,5.98,1803.49
0.55,6.53,1821.225
1.05,7.58,1844.225
0.01,7.59,1868.345
0,7.59,1895.85
0.04,7.63,1920.125
0.01,7.64,1940.425
0,7.64,1956.85
0,7.64,1975.275
0,7.64,1998.71
0,7.64,2020.67
0,7.64,2046.02
0,7.64,2074.19
0,7.64,2102.915
0.07,7.71,2131.975
0,7.71,2146.96
0.02,7.73,2160.775
0,7.73,2187.65
0.95,8.68,2210.34
0,8.68,2233.35
1.32,10,2248.435
0.65,10.65,2267.025
0.03,10.68,2291.925
0.04,10.72,2313.36
0.03,10.75,2333.23
0.01,10.76,2351.13
0,10.76,2367.79
0.06,10.82,2380.62
0.99,11.81,2389.85
0,11.81,2407.065
0,11.81,2422.52
0,11.81,2437.705
0,11.81,2455.215
0.03,11.84,2470.2
0,11.84,2483.56
0,11.84,2501.23
0,11.84,2521.22
0,11.84,2532.495
0.09,11.93,2543.95
0.01,11.94,2556.66
0,11.94,2569.355
0.02,11.96,2593.34
0.26,12.22,2606.065
0,12.22,2616.545
0,12.22,2642.92
0.31,12.53,2657.175
0,12.53,2664.465
0,12.53,2670.05
0,12.53,2679.07
0.05,12.58,2683.375
0,12.58,2687.78
0,12.58,2701.52
0,12.58,2715.4
0,12.58,2731.49
0,12.58,2752.505
0,12.58,2773.685
0,12.58,2794.285
0.84,13.42,2809.88
0,13.42,2821.02
0,13.42,2831.215
0,13.42,2843.42
0,13.42,2856.175
0,13.42,2869.885
0.01,13.43,2885.34
0,13.43,2902.445
0,13.43,2912.79
0,13.43,2920.285
0,13.43,2929.33
0,13.43,2936.825
0,13.43,2939.255
0,13.43,2950.345
0,13.43,2961.605
0.43,13.86,2962.89
0.07,13.93,2962.89
0,13.93,2962.89
