Date,Max Deg F,Min Deg F
1/1/2018,-8,-18
1/2/2018,0,-15
1/3/2018,12,-11
1/4/2018,4,-8
1/5/2018,4,-11
1/6/2018,1,-13
1/7/2018,13,-12
1/8/2018,30,13
1/9/2018,35,24
1/10/2018,41,29
1/11/2018,36,17
1/12/2018,17,-11
1/13/2018,2,-13
1/14/2018,3,-13
1/15/2018,14,-7
1/16/2018,4,-4
1/17/2018,6,-3
1/18/2018,25,2
1/19/2018,40,22
1/20/2018,41,26
1/21/2018,40,27
1/22/2018,36,30
1/23/2018,30,17
1/24/2018,26,10
1/25/2018,24,15
1/26/2018,34,22
1/27/2018,45,23
1/28/2018,30,15
1/29/2018,18,2
1/30/2018,13,0
1/31/2018,30,0
2/1/2018,27,-5
2/2/2018,4,-9
2/3/2018,12,-8
2/4/2018,15,-5
2/5/2018,1,-8
2/6/2018,11,-9
2/7/2018,8,-8
2/8/2018,13,0
2/9/2018,12,0
2/10/2018,8,-1
2/11/2018,13,-3
2/12/2018,19,-3
2/13/2018,10,-3
2/14/2018,29,9
2/15/2018,40,16
2/16/2018,35,-2
2/17/2018,23,-2
2/18/2018,34,13
2/19/2018,43,18
2/20/2018,20,17
2/21/2018,18,2
2/22/2018,18,1
2/23/2018,28,8
2/24/2018,30,1
2/25/2018,27,3
2/26/2018,28,14
2/27/2018,43,17
2/28/2018,43,19
3/1/2018,45,21
3/2/2018,39,13
3/3/2018,38,15
3/4/2018,43,33
3/5/2018,39,31
3/6/2018,34,25
3/7/2018,32,13
3/8/2018,26,10
3/9/2018,27,9
3/10/2018,35,12
3/11/2018,32,24
3/12/2018,34,20
3/13/2018,38,20
3/14/2018,34,21
3/15/2018,43,23
3/16/2018,34,19
3/17/2018,36,19
3/18/2018,48,20
3/19/2018,39,26
3/20/2018,41,25
3/21/2018,28,20
3/22/2018,37,21
3/23/2018,40,26
3/24/2018,38,26
3/25/2018,37,26
3/26/2018,40,26
3/27/2018,34,29
3/28/2018,46,29
3/29/2018,49,21
3/30/2018,37,21
3/31/2018,37,23
4/1/2018,23,9
4/2/2018,27,9
4/3/2018,32,20
