"RainfallTotal","cum.rain","Date"
0,0,0
0.01,0,0
0.02,0,0
0.06,0,0
0.27,0,0
0.13,0,0
0.04,0,0
0.23,0,0
0.07,0,0
0.1,0,0
0.18,0,0
0.09,0,0
0.22,0,0
0.29,0,0
0.01,0,19.63
0,0,19.63
0,0,38.465
0,0,56.695
0,0,66.92
0,0,73.37
0,0,85.97
0,0,99.755
0,0,119.385
0.8,0.8,144.12
0.34,1.14,169.51
0,1.14,197.18
0,1.14,223.275
0.06,1.2,257.125
1.07,2.27,285.16
0.08,2.35,302.245
0,2.35,323.12
0,2.35,342.435
0.2,2.55,354.39
0,2.55,365.41
0,2.55,382.34
0,2.55,399.36
0.25,2.8,416.235
0,2.8,432.225
0,2.8,449.365
0.23,3.03,464.65
0,3.03,482.025
0.02,3.05,497.655
0,3.05,519.48
0,3.05,535.49
0,3.05,555.22
0,3.05,584.005
1.06,4.11,609.995
0.2,4.31,638.66
0.75,5.06,658.86
0.25,5.31,672.51
0,5.31,691.925
0,5.31,711.955
0,5.31,731.97
0,5.31,751.35
0,5.31,771.035
0,5.31,792.855
1.04,6.35,808.125
0,6.35,829.595
0,6.35,853.025
0,6.35,887.43
0,6.35,918.095
1.15,7.5,935.745
0,7.5,959.68
0.03,7.53,985.455
0.33,7.86,1009.25
0,7.86,1031.765
0,7.86,1051.665
0,7.86,1076.075
0,7.86,1104.105
0,7.86,1132.81
0,7.86,1155.715
0,7.86,1183.13
1.29,9.15,1214.08
0.13,9.28,1238.045
0,9.28,1263.655
0,9.28,1290.225
0,9.28,1311.63
0,9.28,1331.525
0,9.28,1351.45
0.06,9.34,1368.245
0.49,9.83,1388.375
0,9.83,1408.125
0,9.83,1427.735
0,9.83,1448.17
0,9.83,1469.285
0.07,9.9,1490.985
0.01,9.91,1503.975
0,9.91,1519.445
0.1,10.01,1535.825
0,10.01,1553.96
0,10.01,1573.305
0,10.01,1594.06
0.09,10.1,1610.3
0,10.1,1622.085
0.8,10.9,1640.71
0.03,10.93,1661.525
0,10.93,1687.56
0,10.93,1709.545
0,10.93,1729.615
0,10.93,1754.26
0,10.93,1780.415
0,10.93,1804.66
0,10.93,1829.83
0,10.93,1855.02
0,10.93,1883.775
0,10.93,1912.465
0,10.93,1935.405
0,10.93,1959.3
0,10.93,1981.38
0,10.93,2003.835
0,10.93,2026.835
0.11,11.04,2046.02
0,11.04,2060.525
0,11.04,2076.595
0,11.04,2093.6
1.07,12.11,2108.21
0,12.11,2127.535
0,12.11,2149.835
0.15,12.26,2171.615
0.21,12.47,2180.61
0.01,12.48,2190.27
0,12.48,2204.075
0.04,12.52,2228.135
0,12.52,2255.255
0.27,12.79,2277.405
0.01,12.8,2295.77
1.57,14.37,2314.315
0.04,14.41,2327.255
0,14.41,2336.78
0,14.41,2349.735
0,14.41,2361.295
0,14.41,2372.755
0,14.41,2387.245
0,14.41,2407.83
0,14.41,2431.89
0,14.41,2454.635
0,14.41,2480.585
0,14.41,2509.95
0,14.41,2538.77
0.66,15.07,2555.13
0.37,15.44,2564.285
0.03,15.47,2572.845
2.98,18.45,2582.835
0,18.45,2586.58
0,18.45,2589.17
0,18.45,2601.175
0.26,18.71,2616.235
0.09,18.8,2616.38
0,18.8,2616.38
0,18.8,2618.72
0.24,19.04,2618.72
0.01,19.05,2618.72
0.63,19.68,2625.24
0.07,19.75,2625.24
0.16,19.91,2625.24
0,19.91,2625.24
0.03,19.94,2625.24
0.28,20.22,2625.24
1.02,21.24,2625.24
0.33,21.57,2625.24
0,21.57,2625.24
0.09,21.66,2625.24
0,21.66,2625.24
0,21.66,2629.26
0.1,21.76,2629.26
0.18,21.94,2629.26
0.06,22,2629.26
0.01,22.01,2629.26
0,22.01,2629.26
0.01,22.02,2629.26
0.23,22.25,2629.26
0.24,22.49,2629.26
0.33,22.82,2629.26
0,22.82,2629.26
0.02,22.84,2629.26
0,22.84,2629.26
0.21,23.05,2629.26
0.09,23.14,2629.26
0,23.14,2629.26
0.02,23.16,2629.26
0,23.16,2629.26
0.01,23.17,2629.26
0,23.17,2629.26
0.99,24.16,2629.26
0.01,24.17,2629.26
0,24.17,2629.26
